sections,page_path,title,type,color_number,description,external_id,ColorValue,WarmCool,color_hex,image,url,published_at,updated_at,color_name,popularity,info,highlight,id,Family,Shade,Interior/Exterior,cdp,Color Collection,Undertone,Mood,Project,Style
"['Crystal Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2051-70/crystal-blue,Crystal Blue 2051-70 | Benjamin Moore,Color,2051-70,A delicate blue-green that almost seems to glisten.,dd3302b383673bcf4c3b56403a61ec06cb86ddb6,Light,Cool,D8EBE9,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-119-crystal-blue-2051-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2051-70/crystal-blue,2024-07-21T22:37:33Z,2024-07-21T22:37:33Z,Crystal Blue,1,,"{'title': 'Crystal <em>Blue</em> 2051-70 | Benjamin Moore', 'sections': 'Crystal <em>Blue</em>', 'description': 'A delicate <em>blue</em>-green that almost seems to glisten.', 'color_name': 'Crystal <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2051-70&#x2F;crystal-<em>blue</em>'}",6242efb2e7b9d25ff80f48c2,,,,,,,,,
"['Blue Spa', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2052-40/blue-spa,Blue Spa 2052-40 | Benjamin Moore,Color,2052-40,A unique medium blue that dips slightly into turquoise.,62434f715290b4766c9c4840578777be4b42cbd4,Medium,Cool,499EA1,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-118-blue-spa-2052-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2052-40/blue-spa,2024-07-21T22:38:15Z,2024-07-21T22:38:15Z,Blue Spa,1,,"{'title': '<em>Blue</em> Spa 2052-40 | Benjamin Moore', 'sections': '<em>Blue</em> Spa', 'description': 'A unique medium <em>blue</em> that dips slightly into turquoise.', 'color_name': '<em>Blue</em> Spa', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2052-40&#x2F;<em>blue</em>-spa'}",62430530e7b9d27b830f6475,,,,,,,,,
"['Evening Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2066-20/evening-blue,Evening Blue 2066-20 | Benjamin Moore,Color,2066-20,"A glamorous sapphire blue marked by dark, intense color.",497b8fd04fcbd8cb3b5480c125ad1959fabec359,Dark,Cool,004E93,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-147-evening-blue-2066-20-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2066-20/evening-blue,2024-07-22T00:27:31Z,2024-07-22T00:27:31Z,Evening Blue,1,,"{'title': 'Evening <em>Blue</em> 2066-20 | Benjamin Moore', 'sections': 'Evening <em>Blue</em>', 'description': 'A glamorous sapphire <em>blue</em> marked by dark, intense color.', 'color_name': 'Evening <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2066-20&#x2F;evening-<em>blue</em>'}",62424bace7b9d2cc330f5136,,,,,,,,,
"['Blue Marguerite', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2063-50/blue-marguerite,Blue Marguerite 2063-50 | Benjamin Moore,Color,2063-50,A cornflower blue that conjures charming seaside cottages.,5927ef86024952804be57c3e3b2728ed5b63c041,Medium,Cool,84BBDC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-146-blue-marguerite-2063-50-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2063-50/blue-marguerite,2024-07-22T02:06:28Z,2024-07-22T02:06:27Z,Blue Marguerite,1,,"{'title': '<em>Blue</em> Marguerite 2063-50 | Benjamin Moore', 'sections': '<em>Blue</em> Marguerite', 'description': 'A cornflower <em>blue</em> that conjures charming seaside cottages.', 'color_name': '<em>Blue</em> Marguerite', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2063-50&#x2F;<em>blue</em>-marguerite'}",6242925964441f9b49003f22,,,,,,,,,
"['Bashful Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2065-70/bashful-blue,Bashful Blue 2065-70 | Benjamin Moore,Color,2065-70,A feather-light blue with a subtle hint of green.,8a6be9c349ade39a50f110768f033c3b9a35d0f8,Light,Cool,C8E6F3,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-144-bashful-blue-2065-70-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2065-70/bashful-blue,2024-07-22T01:58:27Z,2024-07-22T01:58:26Z,Bashful Blue,1,,"{'title': 'Bashful <em>Blue</em> 2065-70 | Benjamin Moore', 'sections': 'Bashful <em>Blue</em>', 'description': 'A feather-light <em>blue</em> with a subtle hint of green.', 'color_name': 'Bashful <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2065-70&#x2F;bashful-<em>blue</em>'}",6242cad864441f3948003bc1,,,,,,,,,
"['Honolulu Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2066-60/honolulu-blue,Honolulu Blue 2066-60 | Benjamin Moore,Color,2066-60,A crisp sky blue that radiates playful energy.,dc86f6c054a110da87aefa5f00cf3ede25dde64c,Light,Cool,A3D6F2,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-147-honolulu-blue-2066-60-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2066-60/honolulu-blue,2024-07-22T02:09:05Z,2024-07-22T02:09:04Z,Honolulu Blue,1,,"{'title': 'Honolulu <em>Blue</em> 2066-60 | Benjamin Moore', 'sections': 'Honolulu <em>Blue</em>', 'description': 'A crisp sky <em>blue</em> that radiates playful energy.', 'color_name': 'Honolulu <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2066-60&#x2F;honolulu-<em>blue</em>'}",6242629b196a6763f18969ad,,,,,,,,,
"['Ash Blue', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2057-40/ash-blue,Ash Blue 2057-40 | Benjamin Moore,Color,2057-40,A smoky medium blue with a touch of green.,24b0c4ab268f5319d5a7f21bbf26c47b53c8567b,,,4D9CAE,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-108-ash-blue-2057-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2057-40/ash-blue,2024-07-30T13:45:47Z,2024-07-30T13:45:47Z,Ash Blue,1,,"{'title': 'Ash <em>Blue</em> 2057-40 | Benjamin Moore', 'sections': 'Ash <em>Blue</em>', 'description': 'A smoky medium <em>blue</em> with a touch of green.', 'color_name': 'Ash <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2057-40&#x2F;ash-<em>blue</em>', 'Family': '<em>Blue</em>'}",6242e4fce7b9d2e9de0f50c2,Blue,Medium,"['Interior', 'Exterior']",true,Color Preview&reg;,,,,
"['Blue Lagoon', 'Matching Colors', 'Different Shades', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/2054-40/blue-lagoon,Blue Lagoon 2054-40 | Benjamin Moore,Color,2054-40,A unique blue that pops with teal undertones.,416630747fc374964e463b3bae905cd28dc96b16,,,409CAC,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-108-blue-lagoon-2054-40-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/2054-40/blue-lagoon,2024-07-30T17:02:57Z,2024-07-30T17:02:57Z,Blue Lagoon,1,,"{'title': '<em>Blue</em> Lagoon 2054-40 | Benjamin Moore', 'sections': '<em>Blue</em> Lagoon', 'description': 'A unique <em>blue</em> that pops with teal undertones.', 'color_name': '<em>Blue</em> Lagoon', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;2054-40&#x2F;<em>blue</em>-lagoon', 'Family': '<em>Blue</em>'}",62430813196a679a9c894d21,Blue,Medium,"['Interior', 'Exterior']",true,Color Preview&reg;,,,,
"['Hamilton Blue', 'Matching Colors', 'Color By Family', 'Discover This Color in Woodluxe Exterior Stains', 'Explore the Woodluxe Collection']",/en-us/paint-colors/color/hc-191/hamilton-blue,Hamilton Blue HC-191 | Benjamin Moore,Color,HC-191,"A dark, stony shade of blue steeped in history.",90ecde189ae46f44ba8ec1178fb16cc5890c3ba6,Dark,Cool,5F767F,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-240-hamilton-blue-HC-191-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/hc-191/hamilton-blue,2024-07-22T00:30:12Z,2024-07-22T00:30:11Z,Hamilton Blue,1,,"{'title': 'Hamilton <em>Blue</em> HC-191 | Benjamin Moore', 'sections': 'Hamilton <em>Blue</em>', 'description': 'A dark, stony shade of <em>blue</em> steeped in history.', 'color_name': 'Hamilton <em>Blue</em>', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;hc-191&#x2F;hamilton-<em>blue</em>'}",62428ee128ccbcc818dd9c6f,,,,,,Gray,,,
"['Blue Stream', 'Matching Colors', 'Similar Colors', 'Color By Family']",/en-us/paint-colors/color/cc-730/blue-stream,Blue Stream CC-730 | Benjamin Moore,Color,CC-730,"Muted and powdery soft, this go-with-the-flow blue fits easily into any space.",ffa99582633c76887ba225a90c62806bd3bd4476,Medium,Cool,B0C9D0,https://media.benjaminmoore.com/WebServices/prod/cdp/836x1045/blue-paint-148-blue-stream-CC-730-rgb.jpg,https://www.benjaminmoore.com/en-us/paint-colors/color/cc-730/blue-stream,2024-06-28T20:10:34Z,2024-06-28T20:10:33Z,Blue Stream,1,,"{'title': '<em>Blue</em> Stream CC-730 | Benjamin Moore', 'sections': '<em>Blue</em> Stream', 'description': 'Muted and powdery soft, this go-with-the-flow <em>blue</em> fits easily into any space.', 'color_name': '<em>Blue</em> Stream', 'page_path': '&#x2F;en-us&#x2F;paint-colors&#x2F;color&#x2F;cc-730&#x2F;<em>blue</em>-stream'}",6249679b64441f2e4d0056dc,,,,,,,,,
